Q21,1.8,->  Seq Scan on lineitem l3  (cost=0.00..1817049.06 rows=20015308 width=8) (actual time=0.046..28315.494 rows=37928797 loops=1)
Q21,1.8,->  Seq Scan on lineitem l1  (cost=0.00..1817049.06 rows=20015308 width=8) (actual time=0.040..24237.738 rows=37928797 loops=1)
Q21,1.8,->  Hash  (cost=1817049.06..1817049.06 rows=20015308 width=8) (actual time=54076.506..54076.506 rows=37928797 loops=1)
Q20,1.6,Sort  (cost=1128226300.48..1128226303.15 rows=1068 width=51) (actual time=331695.994..331696.120 rows=1800 loops=1)
Q20,1.6,->  Hash Semi Join  (cost=1128222620.17..1128226246.76 rows=1068 width=51) (actual time=331644.923..331690.069 rows=1800 loops=1)
Q20,1.6,->  Hash  (cost=1128222285.18..1128222285.18 rows=26693 width=4) (actual time=331644.800..331644.800 rows=44908 loops=1)
Q20,1.6,->  HashAggregate  (cost=1128221751.32..1128222018.25 rows=26693 width=4) (actual time=331618.977..331635.190 rows=44908 loops=1)
Q1,1.5,Sort  (cost=4221939.32..4221939.34 rows=6 width=20) (actual time=94334.496..94334.497 rows=4 loops=1)
Q1,1.5,->  HashAggregate  (cost=4221939.14..4221939.25 rows=6 width=20) (actual time=94334.405..94334.406 rows=4 loops=1)
Q10,1.5,->  HashAggregate  (cost=1178782.98..1184544.08 rows=576110 width=176) (actual time=22190.203..22493.916 rows=381926 loops=1)
Q22,1.3,->  Bitmap Index Scan on customer_c_phone_idx  (cost=0.00..2910.40 rows=140845 width=0) (actual time=1255.389..1255.389 rows=191006 loops=1)
Q22,1.3,->  Bitmap Heap Scan on customer  (cost=2945.61..41920.79 rows=140845 width=24) (actual time=1269.235..2043.259 rows=191006 loops=1)
Q15,1.3,->  Index Scan using pk_supplier on supplier  (cost=0.00..4791.46 rows=100000 width=71) (actual time=0.071..32.233 rows=71847 loops=1)
Q9,1.1,->  Sort  (cost=2877407.32..2886549.16 rows=3656737 width=28) (actual time=103486.848..104287.246 rows=3263676 loops=1)
Q9,1.1,->  Seq Scan on part  (cost=0.00..65522.00 rows=120119 width=4) (actual time=0.058..919.445 rows=108843 loops=1)
Q9,1.1,->  Hash Join  (cost=67023.49..2478784.12 rows=3656737 width=28) (actual time=956.940..101000.734 rows=3263676 loops=1)
Q9,1.1,->  Hash  (cost=65522.00..65522.00 rows=120119 width=4) (actual time=956.779..956.779 rows=108843 loops=1)
Q9,1.1,GroupAggregate  (cost=4018778.48..4018783.62 rows=147 width=46) (actual time=7088094.977..7091777.371 rows=175 loops=1)
Q19,1.1,->  Hash Join  (cost=37606.02..3377441.39 rows=1019 width=8) (actual time=373.024..35893.572 rows=1161 loops=1)
Q9,1.0,->  Seq Scan on orders  (cost=0.00..409314.79 rows=15224879 width=8) (actual time=0.011..16481.709 rows=15000000 loops=1)
Q9,1.0,->  Seq Scan on lineitem  (cost=0.00..1690234.36 rows=60885236 width=24) (actual time=0.026..12111.276 rows=59984748 loops=1)
Q9,1.0,->  Index Scan using pk_partsupp on partsupp  (cost=0.00..603091.29 rows=8000000 width=12) (actual time=0.027..2667.623 rows=7999945 loops=1)
Q8,1.0,->  Seq Scan on lineitem  (cost=0.00..1690234.36 rows=60885236 width=20) (actual time=0.018..11598.897 rows=59984748 loops=1)
Q8,1.0,->  Hash Join  (cost=558977.09..2632833.14 rows=24796 width=38) (actual time=13036.925..62084.014 rows=24428 loops=1)
Q8,1.0,->  Hash Join  (cost=558975.53..2632366.65 rows=24796 width=16) (actual time=13036.838..62028.253 rows=24428 loops=1)
Q8,1.0,->  Hash Join  (cost=554546.53..2627441.73 rows=24796 width=16) (actual time=12977.099..61886.594 rows=24428 loops=1)
Q8,1.0,->  Hash Join  (cost=526039.22..2557399.39 rows=3669962 width=20) (actual time=12791.363..57096.917 rows=3649835 loops=1)
Q8,1.0,->  Hash Join  (cost=2.53..58905.53 rows=300000 width=4) (actual time=0.083..670.105 rows=300270 loops=1)
Q8,1.0,->  Hash Join  (cost=162289.94..514567.90 rows=917706 width=8) (actual time=2217.904..12471.935 rows=912280 loops=1)
Q8,1.0,->  Hash  (cost=58905.53..58905.53 rows=300000 width=4) (actual time=743.399..743.399 rows=300270 loops=1)
Q8,1.0,->  Hash  (cost=514567.90..514567.90 rows=917706 width=8) (actual time=12789.586..12789.586 rows=912280 loops=1)
Q8,1.0,->  Hash  (cost=28338.39..28338.39 rows=13513 width=4) (actual time=185.485..185.485 rows=13437 loops=1)
Q8,1.0,->  Bitmap Index Scan on part_p_type_p_partkey_idx  (cost=0.00..414.06 rows=13513 width=0) (actual time=4.744..4.744 rows=13437 loops=1)
Q8,1.0,->  Bitmap Index Scan on orders_o_orderdate_o_orderkey_idx  (cost=0.00..98487.28 rows=4588528 width=0) (actual time=1392.492..1392.492 rows=4625776 loops=1)
Q8,1.0,->  Bitmap Heap Scan on part  (cost=417.44..28338.39 rows=13513 width=4) (actual time=6.893..179.793 rows=13437 loops=1)
Q8,1.0,->  Bitmap Heap Scan on orders  (cost=99634.41..425528.33 rows=4588528 width=12) (actual time=1474.279..4283.554 rows=4557232 loops=1)
Q7,1.0,->  Sort  (cost=3848708.64..3848854.90 rows=58503 width=64) (actual time=148609.770..148619.317 rows=58953 loops=1)
Q7,1.0,->  Seq Scan on orders  (cost=0.00..405283.20 rows=15074920 width=8) (actual time=0.016..7642.956 rows=15015000 loops=1)
Q7,1.0,->  Hash Join  (cost=89654.56..796436.16 rows=15074920 width=30) (actual time=2825.768..45983.713 rows=15015000 loops=1)
Q7,1.0,->  Hash Join  (cost=1377907.91..3844076.31 rows=58503 width=64) (actual time=68015.665..148257.612 rows=58953 loops=1)
Q7,1.0,->  Hash Join  (cost=1372102.35..3289072.31 rows=18296864 width=42) (actual time=67905.254..107065.575 rows=18247443 loops=1)
Q7,1.0,->  Hash  (cost=796436.16..796436.16 rows=15074920 width=30) (actual time=53150.302..53150.302 rows=15015000 loops=1)
Q7,1.0,->  Bitmap Index Scan on lineitem_l_shipdate_l_suppkey__idx  (cost=0.00..382655.47 rows=18296864 width=0) (actual time=14040.617..14040.617 rows=18320255 loops=1)
Q7,1.0,->  Bitmap Heap Scan on lineitem  (cost=387229.69..1732422.65 rows=18296864 width=20) (actual time=14737.757..31155.908 rows=18247443 loops=1)
Q6,1.0,->  Bitmap Index Scan on lineitem_l_shipdate_l_suppkey__idx  (cost=0.00..190127.59 rows=9086876 width=0) (actual time=7366.600..7366.600 rows=9140561 loops=1)
Q6,1.0,->  Bitmap Heap Scan on lineitem  (cost=190318.30..1464610.01 rows=762852 width=8) (actual time=7959.243..22236.853 rows=759771 loops=1)
Q5,1.0,->  Seq Scan on lineitem  (cost=0.00..1690234.36 rows=60885236 width=16) (actual time=0.032..11921.659 rows=59984748 loops=1)
Q5,1.0,->  Hash Join  (cost=429251.06..2480608.55 rows=74600 width=34) (actual time=8915.332..58749.805 rows=73180 loops=1)
Q5,1.0,->  Hash Join  (cost=424572.06..2437882.91 rows=1865032 width=46) (actual time=8851.841..55961.585 rows=1828392 loops=1)
Q5,1.0,->  Hash Join  (cost=2.53..58905.53 rows=300000 width=38) (actual time=0.091..795.671 rows=300963 loops=1)
Q5,1.0,->  Hash Join  (cost=113290.86..418742.47 rows=466367 width=38) (actual time=1655.545..8628.341 rows=456880 loops=1)
